Quote;Author;FR;FR;ITA?;ITA?;SPA?;SPA?;GER;GER;POL?;POL?
I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler;I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler;I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler;I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler;I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler;I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler;I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler;I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler;I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler;I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler;I am convinced that 1941 will be the crucial year of a great New Order in Europe.;Adolf Hitler
Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;Nothing irritates us [Fascists] so much as to be taken for pillars of order. Nothing so exasperates us as the people who come to us through fear of Communism.;Alessandro Pavolini;
I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;I am certain that Hitler did not originally plan to attack the Soviet Union.;Otto Ernst Remer at the conclusion of the German-Soviet War;
Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;Who says I am not under the special protection of God?;Adolf Hitler after the victory at Stalingrad;
The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;The most foolish mistake we could make would be to permit the conquered Eastern peoples to have arms.;Adolf Hitler 1953, six months before the formation of Russia;
France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;France will have to work together with us. France is so much economically weaker than we are that it must trade with us in the West or not at all.;Otto Ernst Remer;
Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;Let our enemies know that anyone who attempts to raise a hand against the will of our people will be mercilessly crushed and destroyed.;Lavrentiy Beria;
The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;The most important thing in our war preparations is to teach all our people to hate U.S. imperialism.;Kim Il Sung during the Chicago-Soviet War;
We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;We think too small, like the frog at the bottom of the well.;Mao Zedong on the Soviet space programme;
You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;You will kill 10 of our men, and we will kill 1 of yours, and in the end it will be you who tire of it.;Ho Chi Minh on the Chicago-Soviet War;
Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;Those who make peaceful revolution impossible will make violent revolution inevitable.;J. F. Kennedy referring to the Axis bloc.;
If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;If you want to make beautiful music, you must play the black and the white notes together.;Richard Nixon;
The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;The Cold War isn't thawing. Communism isn't sleeping; it is, as always, plotting, scheming, working, fighting.;Richard Nixon;
I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;I believe we can continue the Great Society while we fight in Indochina.;Lyndon B. Johnson;
I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;I'm tired. I'm tired of feeling rejected by the American people. I'm tired of waking up worrying about the war.; Lyndon B. Johnson;
The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;The peoples of Russia have for ages become disillusioned of Bolshevism.;Andrey Vlasov;
The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;The aim of the Committee of the Liberation of the Peoples of Russia is to overthrow the tyranny of Stalin.;Andrey Vlasov;
We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;We have resolved to endure the unendurable and suffer what is insufferable.;Emperor Hirohito;